station_name,month,avg_temp_mean,avg_temp_std,min_temp_mean,min_temp_std,max_temp_mean,max_temp_std,relative_humidity_mean,relative_humidity_std,air_pressure_mean,air_pressure_std
Ambala,1,11.830967741935483,2.44451593332981,7.832903225806451,2.3795424005527805,17.61032258064516,3.4724551401653585,72.8451210461053,3.610987213080871,1017.472077922078,2.76229270959766
Ambala,2,16.471544715447155,2.6961271655202523,10.46991869918699,2.5407154975001904,23.621951219512194,3.166772587438475,66.08845298898656,3.8296997039446112,1015.210569105691,3.1424072689509566
Ambala,3,22.437903225806455,3.1293936330995225,15.841129032258063,2.836349769639781,29.960483870967742,3.3272664761016335,60.57012129854356,4.783613629000659,1011.8290322580646,3.7823246216667528
Ambala,4,27.790000000000003,3.045216665167706,20.2575,2.7634974339099543,36.2275,3.3924523862948024,53.79763241472553,5.060280660729075,1007.7275000000001,2.803987631687331
Ambala,5,30.499193548387098,3.4728563246505533,23.641129032258064,3.108185157786653,38.01854838709678,3.7395788410205673,50.65067609008865,5.310943515470164,1003.4934426229509,3.778204954538385
Ambala,6,32.185833333333335,3.365377245659428,26.235833333333336,2.7037414423562853,39.05333333333333,3.8059425743896624,49.517704855962116,6.013573092829866,999.9508333333334,2.5418181752152087
Ambala,7,30.05564516129032,2.2101503616345437,26.28548387096774,1.7395772567661558,35.38467741935484,2.660339374243939,57.4112914241368,5.164342515175931,1000.1395161290322,2.6186267905202483
Ambala,8,29.75609756097561,1.4035170308826348,25.984552845528455,1.3268372675198492,34.838211382113826,1.3973933769820583,61.632760064861685,4.533939566646677,1001.8733333333333,2.3100341346138924
Ambala,9,28.601666666666667,1.8335337298166483,24.700840336134455,1.5039775398565984,33.79333333333333,2.0399675946237106,64.50789354812395,4.624334482068724,1004.9655172413793,1.8742234773842665
Ambala,10,25.51774193548387,2.4796750504099303,20.046774193548387,2.7444677682040144,32.24032258064516,2.0538252771546737,65.45131418157608,4.337674780459731,1010.5846774193549,3.4103869163902694
Ambala,11,19.723333333333336,2.136978678215685,14.078333333333335,2.4975680047548963,27.248333333333335,2.0235580334761685,67.8837010028391,3.1955008608346027,1015.0508333333333,1.75652425288704
Ambala,12,14.268292682926829,2.286428852433661,9.15040650406504,2.154042101348898,21.6260162601626,2.8989211503245533,70.90302618153942,3.6935976911695145,1017.4672131147541,2.2127146717707378
Bikaner,1,14.053246753246752,2.0621446045530902,7.479870129870131,2.487652642411722,21.788961038961038,2.7406540340619094,73.0449251398878,3.8108166185765295,1016.7084415584416,2.9777376879758943
Bikaner,2,20.109756097560975,3.032972210856419,12.43739837398374,3.2957100375295068,27.79918699186992,3.3305465493228654,66.5004241920958,4.265914078914387,1014.3585365853659,3.4875640150248937
Bikaner,3,26.25,3.7409076764740448,18.653225806451612,3.703512625837141,33.899193548387096,3.8923417819611226,60.51527950781986,5.100824679173486,1010.949193548387,3.851607118220781
